Foreign,#genre#	
http://livehdkto-lh.akamaihd.net/i/LiveStream_1@178944/master.m3u8

#EXTINF:-1 tvg-logo="https://upload.wikimedia.org/wikipedia/it/7/78/Tele_Radio_Padre_Pio.png" group-title="CATHOLICISM" ,国外Padre Pio TV (Italy)
https://56972e8bd3345.streamlock.net/TRPP_live/smil:bcffcc98-ac2f-4b73-b0a5-ad1bfb96d845_all.smil/chunklist_w1418321773_b227000_slita.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://www.i-italy.tv/wp/wp-content/uploads/2016/09/TESTATATV20001.jpg" group-title="CATHOLICISM",国外TV 2000 (Italy)
http://mi1.wz.tv2000.it:80/tv2000_alfa.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://www.i-italy.tv/wp/wp-content/uploads/2016/09/TESTATATV20001.jpg" group-title="CATHOLICISM",TV 2000* (Italy)
http://cld01ibi16.wz.tv2000.it/tv2000_alfa.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://montemaria.org/web/web2/img/logo6.png" group-title="CATHOLICISM",国外Monte Maria (Mexico)
http://162.212.176.51:1935/live/myStream/playlist.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://www.nsaparecidanatal.com.br/wp-content/uploads/2015/12/aparicoes.jpg" group-title="CATHOLICISM",国外Santuario de Fatima (Portugal)
http://213.13.26.11:1935/live/santuario.stream/livestream.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://3.bp.blogspot.com/-9beSDaDpMPg/UmiU0tyOcdI/AAAAAAAACVg/kGgsxgZ9vsk/s1600/tv_louvar.jpg" group-title="CATHOLICISM",国外TV Louvar (Brazil)
http://173.236.10.10:1935/renascer/renascer/live.m3u8

#EXTINF:-1 tvg-logo="http://www.hgsitebuilder.com/files/writeable/uploads/hostgator961563/image/ant2.png" group-title="",国外All Nations TV (USA)
http://telvuelive-i.akamaihd.net/hls/live/203868/T01997/playlist.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://betterlifetv.tv/media/Images/Stream%20Better%20Heatlh%20TV%204.png" group-title="CHRISTIANITY",国外Better Health (USA)
http://uni5rtmp.tulix.tv:1935/betterhealth/betterhealth/playlist.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://betterlifetv.tv/media/Images/Stream%20Better%20Life%20TV%204.png" group-title="CHRISTIANITY",国外Better Life (USA)
http://uni5rtmp.tulix.tv:1935/betterlife/betterlife/playlist.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://betterlifetv.tv/media/Images/Stream%20Nature%20Channel%204.png" group-title="CHRISTIANITY",国外Better Nature (USA)
http://uni5rtmp.tulix.tv:1935/betternature/betternature/playlist.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://www.absatellite.net/channel-img/ABS2-ABS6/bible_explorations_tv.png" group-title="CHRISTIANITY",国外Bible Explorations (USA)
http://stream.iphonewebtown.com:1935/bibleexplorations/bexplorationsmobile.stream/playlist.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="https://upload.wikimedia.org/wikipedia/en/8/8e/CTN_Network.gif" group-title="CHRISTIANITY",国外Christian Television Network (USA)
http://rtmp.ottdemo.rrsat.com/ctntv/ctntvmulti.smil/chunklist.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="https://upload.wikimedia.org/wikipedia/en/8/8e/CTN_Network.gif" group-title="CHRISTIANITY",国外Christian Television Network* (USA)
http://rrsatrtmp.tulix.tv/ctntv/ctntvmulti.smil/chunklist_w846886780_b1764000.m3u8?fluxustv.m3u8

#EXTINF:-1 tvg-logo="http://www.ctnonline.com/uploads/7/5/4/8/7548146/published/wrxy-white.png?1510253661" group-title="CHRISTIANITY",国外CTN - WRXY-TV (USA)
http://ctn10.srfms.com:1935/ctn10/livestream/chunklist.m3u8?fluxustv.m3u8

#EXTINF:-1 tvg-logo="http://www.ctnonline.com/uploads/7/5/4/8/7548146/published/wvlr-white.png?1527180086" group-title="CHRISTIANITY",国外CTN - WVLR (USA)
http://wvlrdt481.srfms.com:2233/live/livestream/chunklist.m3u8?fluxustv.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="https://89rrj5puz31fk9l54floftjs-wpengine.netdna-ssl.com/wp-content/uploads/2017/07/cornerstone.jpg" group-title="CHRISTIANITY",国外Cornerstone TV (USA)
http://cdn.media9.truegod.tv/ctvnlive/smil:ctvn.smil/chunklist_w1852678767_b2328000_sleng.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://www.drgenescott.org/images/doc-top.jpg" group-title="CHRISTIANITY",国外Dr. Gene Scott (USA)
http://wescottcchls-lh.akamaihd.net/i/wcc_wowlivehls@24607/master.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://www.unored.tv/wp-content/uploads/2015/08/extrematv.png" group-title="CHRISTIANITY",国外Extrema TV (USA)
http://livestreamcdn.net:1935/ExtremaTV/ExtremaTV/playlist.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="https://image.roku.com/channels/images/b7b87e8c8abd4ac5b39e5cce15ced5de-hd.jpg" group-title="CHRISTIANITY",国外GOD TV (USA)
http://ooyalahd2-f.akamaihd.net/i/godtv01_delivery@17341/master.m3u8

#EXTINF:-1 tvg-logo="https://awmsa.net/wp-content/uploads/2018/02/GT-TV.png" group-title="CHRISTIANITY",国外Gospel Truth TV (USA)
https://bstna.tulix.tv/live/bs_2m/index.m3u8

#EXTINF:-1 tvg-logo="https://vhx.imgix.net/hillsongchannel/assets/3c5d3a9d-1913-4508-a722-fe18f6c5382f.png" group-title="CHRISTIANITY",国外Hillsong Channel (USA)
https://acaooyalahd2-lh.akamaihd.net/i/TBN20_delivery@394530/master.m3u8?

#EXTINF:-1 tvg-logo="http://www.genserv-ph.com/assets/img/sattv/hope.png" group-title="CHRISTIANITY",国外Hope Channel (USA)
https://bcliveunivsecure-lh.akamaihd.net/i/HopeChannel_1@571270/master.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="https://www.ini.tv/wp-content/uploads/2014/09/inspiration_tv_logo_2c.jpg" group-title="CHRISTIANITY",国外Inspiration TV (USA)
http://inspnetworks-lh.akamaihd.net/i/insp_2@393793/master.m3u8

#EXTINF:-1 tvg-logo="https://i.imgur.com/Lab1sXY.png" group-title="CHRISTIANITY",国外ISN (USA)
http://cpdc101-lh.akamaihd.net/i/ISNCPDCMB1_1@314337/master.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://www.iptvcristiano.com/uploads/channels/76/logo_thumb.jpg" group-title="CHRISTIANITY",国外LeSEA Broadcasting Network (USA)
http://media1.lesea.com:1935/live/leseaorigin.stream/chunklist.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="https://i2.wp.com/www.rokuchannels.tv/wp-content/uploads/2013/10/lifevisiontv.jpg" group-title="CHRISTIANITY",国外Lifevision TV (USA)
http://uni5rtmp.tulix.tv/lifevision/lifevision.stream/playlist.m3u8

#EXTINF:-1 tvg-logo="https://www.christembassy.or.ke/images/demo/is_img4.jpg" group-title="CHRISTIANITY",国外LoveWorld USA (USA)
https://loveworldusa-lh.akamaihd.net/i/lwusa2_1@514985/master.m3u8?

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://myersinfosys.com/wp-content/uploads/2015/07/NRB_Logo.png" group-title="CHRISTIANITY",国外NRB Network (USA)
http://uni6rtmp.tulix.tv/nrbnetwork/myStream.sdp/playlist.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="https://upload.wikimedia.org/wikipedia/en/f/f1/Smile_TV.jpg" group-title="CHRISTIANITY",国外Smile TV (USA)
http://acaooyalahd2-lh.akamaihd.net/i/TBN04_delivery@186242/master.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://logonoid.com/images/tbn-logo.png" group-title="国外CHRISTIANITY",TBN (USA)
http://acaooyalahd2-lh.akamaihd.net/i/TBN01_delivery@186239/master.m3u8

#EXTINF:-1 tvg-logo="https://www.tbnuk.org/images/TBN-UK-Avatar.png" group-title="CHRISTIANITY",国外TBN (UK)
https://acaooyalahd2-lh.akamaihd.net/i/TBN10_delivery@332891/index_2528_av-p.m3u8?sd=10&rebase=on

#EXTINF:-1 tvg-logo="http://info.truegod.tv/wp-content/uploads/2016/10/trueGOD.tv_LOGO_glow_optimized.png" group-title="CHRISTIANITY",国外trueGODtv (USA)
http://cdn.media15.truegod.tv/ibn/smil:ibn.smil/chunklist_b1128000_sleng.m3u8?fluxustv.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://image.ibb.co/nzpYrk/VTN_logo_1080x720.png" group-title="CHRISTIANITY",国外Victory Television Network (USA)
http://184.173.179.163:1935/victorytelevisionnetwork/victorytelevisionnetwork/playlist.m3u8

#EXTINF:-1 tvg-logo="http://www.direct-vs-dish.com/media/channel_logos/world_harvest_tv.png.300x300_q85.png" group-title="CHRISTIANITY",国外World Harvest TV (USA)
http://media1.lesea.com:1935/live/leseaorigin.stream/playlist.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="https://image.roku.com/channels/images/b7b87e8c8abd4ac5b39e5cce15ced5de-hd.jpg" group-title="CHRISTIANITY",国外GOD TV (UK)
https://ooyalahd2-f.akamaihd.net/i/godtv06_delivery@17461/master.m3u8

#EXTINF:-1 tvg-logo="https://miraclechannel.ca/wp-content/uploads/2016/08/MC_Logo_Homepage_V2@3x.png" group-title="CHRISTIANITY",国外Miracle Channel (Canada)
https://d9ruw6nhj5a52.cloudfront.net/live/live/playlist.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://www.wtjr.org/uploads/8/4/5/8/8458149/7569092_orig.png" group-title="CHRISTIANITY",国外Christian Television Network (USA)
http://184.164.158.202:1936/48/smil:48.smil/playlist.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://iptvchile.xyz/Logos/TeVe/esperanza%20tv.png" group-title="CHRISTIANITY",国外Esperanza TV (USA)
http://k3.usastreams.com:1935/etvSD/etvSD/playlist.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://betterlifetv.tv/media/Images/Stream%20Vida%20Mejor%20TV%204.png" group-title="CHRISTIANITY",国外Vida Mejor (USA)
http://uni5rtmp.tulix.tv:1935/bettervida/bettervida/playlist.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://static.wixstatic.com/media/c38be3_0cf530338264f47420d5237f029b2d6d.png_512" group-title="CHRISTIANITY",Vision Celestial (USA)
http://streaming.omeganet.org:1935/vc/envivo/chunklist_w1068747420.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://thewatchtv.com/wp-content/uploads/2016/03/Watch-MTM-TV-Live-TV-from-Jamaica.jpg" group-title="CHRISTIANITY",国外MTM TV (Jamaica)
http://media.btbn.tv/mtmtv/live/playlist.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://old.omega.is/Broadcast_files/image002.jpg" group-title="CHRISTIANITY",国外Omega (Iceland)
http://sip-live.hds.adaptive.level3.net/hls-live/omega-omega/_definst_/live/stream1.m3u8

#EXTINF:-1 tvg-logo="https://i2.wp.com/directostv.teleame.com/wp-content/uploads/2018/01/sobrenatural-tv.png" group-title="",国外Sobrenatural TV (Portugal)
http://213.13.26.11:1935/live/sobrenaturaltv/livestream.m3u8

#EXTINF:-1 tvg-logo="https://cnho.files.wordpress.com/2017/11/logos.png" group-title="CHRISTIANITY",国外Logos TV (Spain)
http://streamer1.streamhost.org:1935/salive/GMIalfah/livestream.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="https://lh3.googleusercontent.com/7CAp43AuvzB0CmUcDXCxuTuT5dkz80zYzGbvttDNhPGJ1joBnTpGG4YOiMj7dulSZaA=w300" group-title="CHRISTIANITY",国外Gracia TV (Chile)*
http://v3.tustreaming.cl:80/graciatv/live1/index.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://nuevotiempo.org/radio/files/Radio-Nuevo-Tiempo-Logo.jpg" group-title="CHRISTIANITY",国外Nuevo Tiempo (Chile)
http://stream.novotempo.com:1935/tv/tvnuevotiempo.stream/live.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="https://www.foromedios.com/uploads/monthly_2016_08/large.elim_tv_sv.png.83b0db6607ef8f4c42d5a3798db5f843.png" group-title="CHRISTIANITY",国外Elim TV (El Salvador)
http://live-15.viewer.dacast.com:80/i/dclive_1@397642/master.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://www.unored.tv/wp-content/uploads/2015/07/Cadena-del-Milagro-TV.jpg" group-title="CHRISTIANITY",国外CDM Internacional (Puerto Rico)
http://205.164.56.130:1935/marcos536/marcos536/playlist.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://iptvchile.xyz/Logos/TeVe/enlace.png" group-title="CHRISTIANITY",国外Enlace (Costa Rica)
http://acaooyalahd2-lh.akamaihd.net/i/TBN07_delivery@186245/index_1728_av-b.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://iptvchile.xyz/Logos/TeVe/enlace%20juvenil.png" group-title="CHRISTIANITY",国外Enlace Juvenil (Costa Rica)
http://acaooyalahd2-lh.akamaihd.net/i/TBN08_delivery@186246/master.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="https://mir-s3-cdn-cf.behance.net/projects/202/19839661.549005a5a2716.png" group-title="CHRISTIANITY",国外Comunion TV (Dominican Rep.)
http://50.30.37.36:1935/live/smil:MyStream.smil/playlist.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://1.bp.blogspot.com/-O1lvn7ixI3I/VezDtfKka6I/AAAAAAAADGM/KeEL0qq9Ng8/s1600/advenir.JPG" group-title="CHRISTIANITY",国外Red ADVenir (Bolivia)
http://streamer1.streamhost.org:1935/salive/GMIredadvenirh/playlist.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://frosat.net/images/logotv/original/SonLife-Broadcasting-Network.jpg" group-title="CHRISTIANITY",国外SBN (USA) [PT]
http://sonlife-i.akamaihd.net:80/hls/live/250090/portuguesevtt/master.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://tvclaret.com/upload/claretianocms/22/programa/68.png" group-title="CHRISTIANITY",国外Rede Seculo 21 (Brazil)
http://tvseculo21-lh.akamaihd.net:80/i/tvseculo_1@16110/master.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="https://upload.wikimedia.org/wikipedia/pt/0/07/Logo_2015_-_TV_Novo_Tempo.png" group-title="CHRISTIANITY",国外Novo Tempo (Brazil)
http://stream.novotempo.com:1935/tv/tvnovotempo.smil/live.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://i67.tinypic.com/2d7vy4n.png" group-title="CHRISTIANITY",国外Rede Gospel (Brazil)
http://media01.s12.com.br:1935/live/redegospel/Rede_Gospel.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://vignette4.wikia.nocookie.net/logopedia/images/f/f2/Logo_rede_aparecida_comunicacao.png" group-title="CHRISTIANITY",国外Aparecida (Brazil)
http://69.46.0.170:1935/tvaparecida/tvaparecida.stream/live.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://www.gideoes.com.br/images/conteudo/logotipo-tvgideoes.png" group-title="CHRISTIANITY",国外TV Gidoes (Brazil)
http://streaming02.zas.media:1935/gideoes/_definst_/mp4:programacao_360p/chunklist_w93290010.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://www.alhorreya.org/wp-content/uploads/2016/04/logo-3.png" group-title="CHRISTIANITY",国外Al Horreya (US) [AR]
http://acaooyalahd2-lh.akamaihd.net/i/TBN06_delivery@186244/master.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="https://r500.ua/wp-content/uploads/2016/09/Nadiya-Logo-RGB-e1487063639551.png" group-title="CHRISTIANITY",国外Nadiya (Ukraine)
http://stream.hope.ua/hopeua/live_1/playlist.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://i.imgur.com/8Lgo47A.jpg" group-title="CHRISTIANITY",国外HVCC (USA) [RO]
http://cdn.credonet.tv:8081/hvcc/smil:livehv.smil/playlist.m3u8

#EXTINF:-1 tvg-logo="http://spbtvonline.ru/tafiimage/645.png" group-title="CHRISTIANITY",国外TBN (Armenia)
http://bogtvhdlive-f.akamaihd.net/i/tbn_armenia@198331/index_500_av-p.m3u8?fluxustv.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="https://i.imgur.com/NM0QWA0.png" group-title="CHRISTIANITY",国外SAT7kids (Jordan)
http://unirtmp.tulix.tv:1935/sat7kids/sat7kids1/playlist.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://ted.adventist.org/sites/default/files/FINAL_LOGO_NO_ENGLISH_s.jpg" group-title="CHRISTIANITY",国外Al Waad (Lebanon)
http://bcoveliveios-i.akamaihd.net/hls/live/224241/4303072782001/master.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://i65.tinypic.com/30k67lu.jpg" group-title="CHRISTIANITY",国外Al Hayat 2 (Egypt)
http://media.islamexplained.com:1935/live/ngrp:ahusa.stream_all/FluxusTV.m3u8

#EXTINF:-1 tvg-logo="http://tresorsonore.com/espacemembre/upload/download/5ddc652eb40214c083ba1f0eb46aab66_cna2.jpg" group-title="CHRISTIANITY",国外Chaine Nord-Africaine (Algeria)
http://str81.creacast.com/cna/live.sdp/playlist.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://static.rtv.rs/slike/2015/12/16/tv-hram_660x330.jpg" group-title="ORTHODOXY",国外Hram TV (Serbia)
http://178.253.194.75:1935/live/hram.stream/.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://www.freeetv.com/images/reydddd/al_sunnah_al_nabawiyah_tv.png" group-title="ISLAM",国外Al Sunnah Al Nabawiyah (KSA)*
http://www.elahmad.com/tv/m3u8/sauditv.m3u8?id=sunnatv

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://iqraa.com/MediaStorage/images/news451.jpg" group-title="ISLAM",国外Iqraa (KSA)
http://www.elahmad.com/tv/m3u8/dubaitv.m3u8?id=iqraa_arabic

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://www.ariase.com/media/television/logo-132x99/iqraa-international.jpg" group-title="ISLAM",国外Iqraa Int'l (KSA) [EN]
http://www.elahmad.com/tv/m3u8/dubaitv.m3u8?id=iqraa_america

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="https://i.imgur.com/nZTxP5z.jpg" group-title="ISLAM",国外Ayaat TV (KSA)
http://m.live.net.sa:1935/live/ayat/chunklist_w1642024713.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://oklivetv.com/wp-content/uploads/media/noor-dubai-tv-logo.jpeg" group-title="ISLAM",国外Nour Dubai* (UAE)
http://www.elahmad.com/tv/m3u8/dubaitv.m3u8?id=noordubaitv

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://www.tv-logo.com/pt-data/uploads/images/logo/ktv_al_ethraa.jpg" group-title="ISLAM",国外KTV Ethraa (Kuwait)
https://svs.itworkscdn.net/ktvethraalive/kethraa.smil/playlist.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="https://upload.wikimedia.org/wikipedia/bn/b/bf/Noor_Al-Sham_Logo.png" group-title="ISLAM",国外Nour El Sham* (Syria)
http://www.elahmad.com/tv/m3u8/syriatv.m3u8?id=syria_nour

#EXTINF:-1 tvg-logo="http://tanasuhfoundation.org/logo.png" group-title="ISLAM",国外Al Tanasuh TV (Libya)
http://m.live.net.sa:1935/m/ngrp:tanasuhtv_all/playlist.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://www.livetvant.com/wp-content/uploads/2012/08/Tayba-TV-Sudan-live.jpg" group-title="ISLAM",国外Tayba TV (Sudan)
http://tayba.live.net.sa:1935/tayba/taybatv/chunklist_w1376954935.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="https://seeklogo.com/images/S/semerkand-logo-0D9C64B470-seeklogo.com.png" group-title="ISLAM",国外Semerkand SD (Turkey)
http://semerkandglb.mediatriple.net:1935/semerkandliveedge/semerkand1/master.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="https://seeklogo.com/images/S/semerkand-logo-0D9C64B470-seeklogo.com.png" group-title="ISLAM",国外Semerkand HD (Turkey)
http://semerkandglb.mediatriple.net/semerkandliveedge/semerkand3/sansar.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://i.imgur.com/wNcqCeY.jpg" group-title="ISLAM",国外MTA English (UK)
http://ooyalahd2-f.akamaihd.net/i/mtaeng_delivery@345736/index_3000_av-p.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://i.imgur.com/wNcqCeY.jpg" group-title="ISLAM",国外MTA Urdu (UK)
http://ooyalahd2-f.akamaihd.net:80/i/mtaorigin_delivery@353498/index_1100_av-p.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="https://i.imgur.com/n8dWVEM.png" group-title="ISLAM",国外The Islamic Network (Trinidad and Tobago)
http://162.244.81.145:2215/live/livestream/playlist.m3u8

#EXTINF:-1 tvg-logo="http://i.imgur.com/RGeIrMD.png" group-title="INFO",国外NOV-29-2018
http://stream.srg-ssr.ch/m/rsc_de/mp3_128

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://i.imgur.com/A4AVDCE.png" group-title="MISC.",国外Smithsonian Panda Cam 1 [M3U8]
http://160.111.252.72:1935/live_edge_panda/smil:panda02_all.smil/playlist.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://i.imgur.com/A4AVDCE.png" group-title="MISC.",国外Smithsonian Panda Cam 2 [M3U8]
http://160.111.252.72:1935/live_edge_panda/smil:panda03_all.smil/playlist.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://i.imgur.com/A4AVDCE.png" group-title="MISC.",国外DC Eagle Cam [M3U8]
http://americaneagle-lh.akamaihd.net:80/i/AEF_DC1@31049/master.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://i.imgur.com/2EsFuSR.png" group-title="USA",国外Washington - District of Columbia - White House [M3U8]
http://wrclive-f.akamaihd.net/i/wrcb2_1@46880/master.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://i.imgur.com/2EsFuSR.png" group-title="USA",国外Staten Island - New York
http://100.42.129.28:80/mjpg/video.mjpg

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://i.imgur.com/2EsFuSR.png" group-title="USA",国外Hamilton - New York
http://149.43.156.105:80/mjpg/video.mjpg

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://i.imgur.com/2EsFuSR.png" group-title="USA",国外Wyoming - Devil's Tower
http://72.36.32.28:80/mjpg/video.mjpg

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://i.imgur.com/2EsFuSR.png" group-title="USA",国外San Francisco - California - KNTV Cam [M3U8]
http://kntvlive-f.akamaihd.net/i/kntvb1_1@15530/master.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://i.imgur.com/2EsFuSR.png" group-title="USA",国外Key West - Florida - Hog's Breath Saloon (Bar Cam 01) [M3U8]
http://wse1.resortcams.com/live-audio/hogsbreath1.stream_aac/chunklist.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://i.imgur.com/2EsFuSR.png" group-title="USA",国外Key West - Florida - Hog's Breath Saloon (Bar Cam 02) [M3U8]
http://wse1.resortcams.com/live-audio/hogsbreath2.stream_aac/chunklist.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://i.imgur.com/2EsFuSR.png" group-title="USA",国外Lake Mary - Florida
http://216.239.164.3:80/mjpg/video.mjpg

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://i.imgur.com/2EsFuSR.png" group-title="USA",国外Coldwater - Michigan
http://66.231.56.22:80/mjpg/video.mjpg

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://i.imgur.com/2EsFuSR.png" group-title="USA",国外Ontonagon - Michigan
http://204.38.53.141:80/mjpg/video.mjpg

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://i.imgur.com/2EsFuSR.png" group-title="USA",国外Herndon - Virginia - Midway Home Service
http://71.41.73.146:80/mjpg/video.mjpg

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://i.imgur.com/2EsFuSR.png" group-title="USA",国外Ashburn - Virginia 01
http://108.34.179.15:80/mjpg/video.mjpg

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://i.imgur.com/2EsFuSR.png" group-title="USA",国外Richmond - Virginia - Science Museum of Virginia
http://184.80.5.148:80/mjpg/video.mjpg

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://i.imgur.com/2EsFuSR.png" group-title="USA",国外Sioux City - Iowa - Sioux Center
http://67.55.224.10:80/mjpg/video.mjpg

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://i.imgur.com/2EsFuSR.png" group-title="USA",国外Fairfield - Iowa - J. Raymond Chadwick Library
http://69.18.18.83:80/mjpg/video.mjpg

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://i.imgur.com/2EsFuSR.png" group-title="USA",国外Vermont - Middlebury College
http://140.233.86.204:80/mjpg/video.mjpg

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://i.imgur.com/2EsFuSR.png" group-title="USA",国外Vermont - Middlebury College Library
http://140.233.86.205:80/mjpg/video.mjpg

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://i.imgur.com/2EsFuSR.png" group-title="USA",国外Sandusky - Ohio - Cedar Point Park 01 [M3U8]
http://cs2.pixelcaster.com:1935/live/cedar1.stream/playlist.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://i.imgur.com/2EsFuSR.png" group-title="USA",国外Sandusky - Ohio - Cedar Point Park 03 [M3U8]
http://cs2.pixelcaster.com:1935/live/cedar2.stream/playlist.m3u8

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://i.imgur.com/2EsFuSR.png" group-title="USA",国外Cincinnati - Ohio
http://74.83.42.184:81/mjpg/video.mjpg

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://i.imgur.com/2EsFuSR.png" group-title="USA",国外Bloomsburg - Pennsylvania - Bloomsburg University
http://148.137.190.230:80/mjpg/video.mjpg

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://i.imgur.com/2EsFuSR.png" group-title="USA",国外Fairfield - Montana
http://76.75.8.116:80/mjpg/video.mjpg

#EXTINF:-1 tvg-id="" tvg-name="" tvg-logo="http://i.imgur.com/2EsFuSR.png" group-title="USA",国外Mount Pleasant - Indiana - IWC Chapel
http://69.18.18.80:80/mjpg/video.mjpg

